,Graph Type,Bid Type,Mechanism,Efficiency Ratio,Normalized Revenue
0,Schweimer22 GlobaldevII,uniform,NSP,0.9050948559791407,0.8085045498012692
1,Schweimer22 GlobaldevII,uniform,IDM,0.9999994069542776,0.9578734530627191
2,Schweimer22 GlobaldevII,uniform,STM,0.979345859744533,0.9578734530627191
3,Schweimer22 GlobaldevII,uniform,SCM,0.979344353009402,0.9544253824491479
4,Schweimer22 GlobaldevII,powerlaw,NSP,0.696827782178826,0.50794322815359
5,Schweimer22 GlobaldevII,powerlaw,IDM,0.9999928716904277,0.9440526346419981
6,Schweimer22 GlobaldevII,powerlaw,STM,0.9690148665883681,0.9469994961683705
7,Schweimer22 GlobaldevII,powerlaw,SCM,0.9689327694309698,0.9306991602533564
8,Schweimer22 GlobaldevII,powerlaw2,NSP,0.21564012657346715,0.06795919133469672
9,Schweimer22 GlobaldevII,powerlaw2,IDM,1.0,0.4829312559945095
10,Schweimer22 GlobaldevII,powerlaw2,STM,0.9606835658193618,0.4829312559945095
11,Schweimer22 GlobaldevII,powerlaw2,SCM,0.9590928957661372,0.42506545207461716
12,Schweimer22 GlobaldevII,powerlaw3,NSP,0.3343774787610963,0.18766689039951243
13,Schweimer22 GlobaldevII,powerlaw3,IDM,1.0,0.6362619348408515
14,Schweimer22 GlobaldevII,powerlaw3,STM,0.9638123402629015,0.6362619348408515
15,Schweimer22 GlobaldevII,powerlaw3,SCM,0.9623144793003346,0.5858938595963485
16,Schweimer22 datamining,uniform,NSP,0.8750022456846658,0.7435819190937916
17,Schweimer22 datamining,uniform,IDM,0.9974614109151322,0.9099164117483263
18,Schweimer22 datamining,uniform,STM,0.9565989525951004,0.9127083464428102
19,Schweimer22 datamining,uniform,SCM,0.9565989525951004,0.9101338906665243
20,Schweimer22 datamining,powerlaw,NSP,0.6111919333354737,0.44366159771241487
21,Schweimer22 datamining,powerlaw,IDM,0.9955922824465308,0.8978871991794879
22,Schweimer22 datamining,powerlaw,STM,0.9406572611539634,0.9213770154474922
23,Schweimer22 datamining,powerlaw,SCM,0.9406572611539634,0.9116760198981373
24,Schweimer22 datamining,powerlaw2,NSP,0.07096663883360045,0.016535880354375674
25,Schweimer22 datamining,powerlaw2,IDM,0.9942056491342883,0.4552730618917823
26,Schweimer22 datamining,powerlaw2,STM,0.910434058829184,0.4582438241741794
27,Schweimer22 datamining,powerlaw2,SCM,0.910434058829184,0.3961884177663261
28,Schweimer22 datamining,powerlaw3,NSP,0.16026637409078573,0.08143541836557858
29,Schweimer22 datamining,powerlaw3,IDM,0.994781334345479,0.5942786958499228
30,Schweimer22 datamining,powerlaw3,STM,0.9103950364305448,0.5956564736277006
31,Schweimer22 datamining,powerlaw3,SCM,0.9103117030972114,0.536433257257904
32,Schweimer22 Calfire,uniform,NSP,0.8798005873034068,0.7476504755349417
33,Schweimer22 Calfire,uniform,IDM,0.9997241314744507,0.9266254605074511
34,Schweimer22 Calfire,uniform,STM,0.970001374755749,0.928305419085673
35,Schweimer22 Calfire,uniform,SCM,0.9700013673457771,0.9256348411510317
36,Schweimer22 Calfire,powerlaw,NSP,0.6282245902666167,0.44424702709478303
37,Schweimer22 Calfire,powerlaw,IDM,0.9982433957003096,0.9185496281430403
38,Schweimer22 Calfire,powerlaw,STM,0.9498422981562783,0.9302294345762618
39,Schweimer22 Calfire,powerlaw,SCM,0.9498422981562783,0.9190795688329925
40,Schweimer22 Calfire,powerlaw2,NSP,0.05015412457708446,0.010905893837213515
41,Schweimer22 Calfire,powerlaw2,IDM,0.9980007992332597,0.46050012133500406
42,Schweimer22 Calfire,powerlaw2,STM,0.9290527368628126,0.46194195679871547
43,Schweimer22 Calfire,powerlaw2,SCM,0.9290527368628126,0.38443635826592587
44,Schweimer22 Calfire,powerlaw3,NSP,0.13908398210547138,0.07065962495439995
45,Schweimer22 Calfire,powerlaw3,IDM,0.9981184615384615,0.6120381751510262
46,Schweimer22 Calfire,powerlaw3,STM,0.9303723867202424,0.6139791894021763
47,Schweimer22 Calfire,powerlaw3,SCM,0.9303723867202424,0.5578769416105207
48,Schweimer22 Bioinformatics,uniform,NSP,0.8743371208624016,0.7469747246832303
49,Schweimer22 Bioinformatics,uniform,IDM,0.9986784977775157,0.9159046634227529
50,Schweimer22 Bioinformatics,uniform,STM,0.9586889117458008,0.9167427043607013
51,Schweimer22 Bioinformatics,uniform,SCM,0.9586889117458008,0.9153941859361139
52,Schweimer22 Bioinformatics,powerlaw,NSP,0.6201662252883895,0.43690354680149046
53,Schweimer22 Bioinformatics,powerlaw,IDM,0.9972263315419628,0.91287929802681
54,Schweimer22 Bioinformatics,powerlaw,STM,0.9367300903532435,0.9216759945228354
55,Schweimer22 Bioinformatics,powerlaw,SCM,0.9367280863452272,0.9156605568949054
56,Schweimer22 Bioinformatics,powerlaw2,NSP,0.0341327412296709,0.008886664594393483
57,Schweimer22 Bioinformatics,powerlaw2,IDM,0.9970047096528368,0.469721691376545
58,Schweimer22 Bioinformatics,powerlaw2,STM,0.9150740309561616,0.46977234684300806
59,Schweimer22 Bioinformatics,powerlaw2,SCM,0.9141579482652015,0.3916038876857842
60,Schweimer22 Bioinformatics,powerlaw3,NSP,0.10666384581209316,0.05402738333671886
61,Schweimer22 Bioinformatics,powerlaw3,IDM,0.9970731269047208,0.6146032828842082
62,Schweimer22 Bioinformatics,powerlaw3,STM,0.9165889165322254,0.6146032828842082
63,Schweimer22 Bioinformatics,powerlaw3,SCM,0.9164689165322253,0.5532557016308027
64,Schweimer22 Vegan,uniform,NSP,0.873823514906735,0.7515866721490685
65,Schweimer22 Vegan,uniform,IDM,0.9983612994778763,0.9211935652796326
66,Schweimer22 Vegan,uniform,STM,0.9616695444988066,0.9229429853471132
67,Schweimer22 Vegan,uniform,SCM,0.9616695444988066,0.9224672410240963
